epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6604,1.32175,1.61971,1.43555,0.50855,0.3951,0.41881,0.23696,1.54195,1.65084,1.49126,0.000166154,0.000166154,0.0669354
2,80.0192,1.29665,1.56199,1.41644,0.51091,0.42694,0.44324,0.2643,1.43643,1.37288,1.3942,0.000332693,0.000332693,0.0337686
3,114.697,1.28016,1.53259,1.40746,0.53471,0.45386,0.47811,0.289,1.40219,1.29247,1.36939,0.000498725,0.000498725,0.000601289
4,149.803,1.26892,1.51853,1.40304,0.54536,0.45037,0.48218,0.29047,1.39477,1.29284,1.36656,0.000498284,0.000498284,0.000498284
5,184.588,1.26973,1.50052,1.39914,0.53087,0.46421,0.4821,0.28889,1.40656,1.28875,1.38887,0.000496953,0.000496953,0.000496953
6,219.76,1.27371,1.51234,1.40889,0.59137,0.42912,0.47874,0.28539,1.41842,1.29415,1.38031,0.000495244,0.000495244,0.000495244
7,255.3,1.26937,1.49662,1.4013,0.54992,0.44155,0.47011,0.28092,1.38642,1.29819,1.36145,0.000493162,0.000493162,0.000493162
8,290.515,1.26337,1.49559,1.39421,0.57469,0.4363,0.47542,0.28497,1.4037,1.3034,1.37246,0.000490708,0.000490708,0.000490708
9,325.963,1.276,1.49734,1.40816,0.54521,0.43615,0.47521,0.28548,1.4122,1.28174,1.38307,0.000487886,0.000487886,0.000487886
10,361.506,1.26162,1.50497,1.39529,0.5196,0.46516,0.47917,0.28835,1.37813,1.2808,1.35404,0.000484702,0.000484702,0.000484702
11,396.478,1.27339,1.49818,1.404,0.53651,0.46536,0.48174,0.28748,1.40116,1.27267,1.37021,0.00048116,0.00048116,0.00048116
12,430.842,1.27555,1.50421,1.4019,0.53928,0.47002,0.48537,0.293,1.38959,1.28043,1.36962,0.000477265,0.000477265,0.000477265
13,466.338,1.27347,1.4946,1.39588,0.54216,0.46045,0.48738,0.29408,1.36697,1.27767,1.34547,0.000473024,0.000473024,0.000473024
14,502.026,1.26637,1.49855,1.39454,0.54047,0.46263,0.48142,0.28717,1.38839,1.308,1.37086,0.000468443,0.000468443,0.000468443
15,537.746,1.25704,1.4875,1.39325,0.55875,0.44428,0.48078,0.28967,1.39255,1.27416,1.36013,0.000463528,0.000463528,0.000463528
16,572.258,1.25679,1.48508,1.39283,0.5781,0.45005,0.48809,0.29272,1.41419,1.28283,1.36342,0.000458289,0.000458289,0.000458289
17,606.363,1.26306,1.4886,1.39825,0.54873,0.46108,0.4841,0.29045,1.40387,1.27894,1.3741,0.000452732,0.000452732,0.000452732
18,640.421,1.25451,1.48309,1.38654,0.55425,0.43622,0.47739,0.28774,1.36873,1.3036,1.34738,0.000446866,0.000446866,0.000446866
19,674.54,1.26509,1.47139,1.38835,0.53661,0.45558,0.48537,0.29384,1.37996,1.27119,1.35063,0.0004407,0.0004407,0.0004407
20,708.869,1.26031,1.47776,1.3944,0.55248,0.45859,0.49104,0.29505,1.39196,1.26498,1.35674,0.000434245,0.000434245,0.000434245
21,742.922,1.25629,1.45146,1.38608,0.56393,0.45609,0.49104,0.29711,1.39686,1.26994,1.36284,0.000427509,0.000427509,0.000427509
22,777.067,1.25232,1.46952,1.38524,0.56589,0.44849,0.48677,0.29555,1.38169,1.26651,1.3543,0.000420503,0.000420503,0.000420503
23,811.13,1.25663,1.45095,1.38857,0.57156,0.46026,0.49507,0.29813,1.37821,1.26415,1.35917,0.000413238,0.000413238,0.000413238
24,845.315,1.2421,1.44616,1.37912,0.56504,0.46896,0.50148,0.3052,1.37657,1.2412,1.34696,0.000405726,0.000405726,0.000405726
25,879.405,1.24827,1.4499,1.38066,0.56774,0.46392,0.49867,0.30231,1.3799,1.25224,1.34525,0.000397977,0.000397977,0.000397977
26,913.6,1.24263,1.43827,1.38029,0.56164,0.46383,0.4983,0.30025,1.38822,1.27201,1.3532,0.000390004,0.000390004,0.000390004
27,947.783,1.237,1.44364,1.38087,0.58111,0.4567,0.49906,0.30219,1.39321,1.25045,1.36158,0.000381818,0.000381818,0.000381818
28,981.923,1.24749,1.44724,1.38076,0.55526,0.46484,0.49508,0.3004,1.3821,1.24606,1.35125,0.000373434,0.000373434,0.000373434
29,1016.05,1.24161,1.42156,1.3726,0.58178,0.46309,0.4978,0.30195,1.40056,1.24723,1.37373,0.000364863,0.000364863,0.000364863
30,1050.16,1.22691,1.42011,1.37068,0.56872,0.46437,0.49624,0.30091,1.37642,1.25158,1.34597,0.000356118,0.000356118,0.000356118
31,1084.22,1.24233,1.42495,1.37609,0.58099,0.45693,0.49943,0.30394,1.37805,1.24303,1.35346,0.000347214,0.000347214,0.000347214
32,1118.46,1.23458,1.42589,1.36934,0.55925,0.47882,0.50306,0.30285,1.38472,1.22916,1.35709,0.000338164,0.000338164,0.000338164
33,1152.85,1.23113,1.40633,1.36349,0.58473,0.46074,0.50184,0.30162,1.38058,1.23935,1.35605,0.000328982,0.000328982,0.000328982
34,1187.78,1.23153,1.39926,1.36541,0.57569,0.4633,0.49924,0.3038,1.38145,1.23791,1.36004,0.000319682,0.000319682,0.000319682
35,1223.14,1.22673,1.40213,1.36766,0.56536,0.4658,0.49238,0.30132,1.37208,1.23752,1.36362,0.000310278,0.000310278,0.000310278
36,1257.89,1.21968,1.40775,1.366,0.57482,0.46221,0.49966,0.30409,1.37511,1.23684,1.35307,0.000300785,0.000300785,0.000300785
37,1293.26,1.22125,1.39939,1.36356,0.61041,0.4536,0.50682,0.30797,1.37868,1.2306,1.36022,0.000291218,0.000291218,0.000291218
38,1328.75,1.22507,1.4059,1.36163,0.58066,0.45864,0.50118,0.30484,1.37039,1.23496,1.34845,0.000281591,0.000281591,0.000281591
39,1364.21,1.21447,1.37741,1.3589,0.5928,0.45425,0.49952,0.30705,1.37022,1.22898,1.34532,0.000271919,0.000271919,0.000271919
40,1399.81,1.22212,1.38251,1.36039,0.60214,0.46783,0.50535,0.30915,1.37993,1.2243,1.35986,0.000262217,0.000262217,0.000262217
41,1434.31,1.22604,1.38708,1.36167,0.59514,0.45708,0.50706,0.31048,1.37397,1.22544,1.35111,0.0002525,0.0002525,0.0002525
42,1468.55,1.20741,1.36132,1.34849,0.5932,0.46552,0.50946,0.31101,1.37742,1.22201,1.35073,0.000242783,0.000242783,0.000242783
43,1502.91,1.21183,1.37745,1.353,0.60007,0.472,0.50987,0.31115,1.37556,1.21999,1.35331,0.000233081,0.000233081,0.000233081
44,1537.37,1.20283,1.35564,1.34786,0.60837,0.45838,0.51185,0.31366,1.36978,1.22189,1.35163,0.000223409,0.000223409,0.000223409
